,data structure,num points,avg cell probes,std cell probes,avg disk accesses,std disk accesses
31,Coors,1000,13.280199999999999,0.09244295538330645,5.4492,0.065610212619683
98,Coors,2000,14.9446,0.11957443056291099,6.241199999999999,0.06425954317367093
92,Coors,5000,17.2864,0.16645810283671955,7.5914,0.11171973863198947
47,Coors,10000,19.1166,0.14089286710121265,8.6694,0.07783508206458074
82,Coors,20000,21.189799999999998,0.2651013013925048,10.081999999999999,0.16256075787224866
54,NaiveStruct,1000,1000.0,0.0,125.00399999999999,0.0018708286933883077
101,NaiveStruct,2000,2000.0,0.0,250.006,0.003197221015544239
95,NaiveStruct,5000,5000.0,0.0,625.0146,0.0027018512172310044
71,NaiveStruct,10000,10000.0,0.0,1250.0296,0.007956129712392635
1,NaiveStruct,20000,20000.0,0.0,2500.0588000000002,0.017093858546409102
33,RangeTree,1000,25.186600000000002,0.1046389028994472,7.1952,0.0769395866898179
12,RangeTree,2000,28.8487,0.17918150326166804,8.5445,0.10813700158184097
24,RangeTree,5000,34.6432,0.2658997931552405,10.8006,0.1273667931605407
89,RangeTree,10000,39.45739999999999,0.34647265404357647,12.6822,0.1665313784246081
39,RangeTree,20000,45.330799999999996,0.46739030798680653,15.4262,0.3143862274337096
46,RangeTree_non_veb,1000,25.186600000000002,0.1046389028994472,8.627199999999998,0.07427112494098854
69,RangeTree_non_veb,2000,28.8487,0.17918150326166804,9.9845,0.12957130169224298
13,RangeTree_non_veb,5000,34.6432,0.2658997931552405,12.5728,0.1707211176158356
22,RangeTree_non_veb,10000,39.45739999999999,0.34647265404357647,14.6932,0.1917777359340752
50,RangeTree_non_veb,20000,45.330799999999996,0.46739030798680653,17.4656,0.28496280459035267
86,XBST,1000,11.669999999999998,0.055874860178795546,4.3088,0.17177077749139996
91,XBST,2000,14.337699999999998,0.13134352752314157,5.1447,0.18949409254937502
87,XBST,5000,20.7696,0.21562652898008638,6.6698,0.10884714052284516
64,XBST,10000,30.1632,0.43766448336596775,8.521600000000001,0.054948157384938565
99,XBST,20000,47.4958,1.2846266772879966,11.2766,0.17397212420385047
78,XBST_non_veb,1000,11.669999999999998,0.055874860178795546,7.4514,0.2266986987170415
20,XBST_non_veb,2000,14.337699999999998,0.13134352752314157,8.6719,0.28025403158959605
61,XBST_non_veb,5000,20.7696,0.21562652898008638,10.5726,0.3576916269637857
100,XBST_non_veb,10000,30.1632,0.43766448336596775,12.6238,0.38136229493750373
29,XBST_non_veb,20000,47.4958,1.2846266772879966,15.884800000000002,0.15583228163637905
