,block size,box type,data structure,memory size,num cell probes,num disk accesses,num points,num queries
0,8,bigBoxes,NaiveStruct,32,2000000,266421,2000,1000
1,8,bigBoxes,XBST,32,380638,79361,2000,1000
2,8,bigBoxes,XBST_non_veb,32,380638,65541,2000,1000
3,8,bigBoxes,RangeTree,32,118801,40921,2000,1000
4,8,bigBoxes,RangeTree_non_veb,32,118801,42901,2000,1000
5,8,bigBoxes,Coors,32,128582,33892,2000,1000
6,8,smallBoxes,NaiveStruct,32,2000000,250005,2000,1000
7,8,smallBoxes,XBST,32,14570,4756,2000,1000
8,8,smallBoxes,XBST_non_veb,32,14570,8150,2000,1000
9,8,smallBoxes,RangeTree,32,28701,8482,2000,1000
10,8,smallBoxes,RangeTree_non_veb,32,28701,9850,2000,1000
11,8,smallBoxes,Coors,32,14759,6155,2000,1000
12,8,bigBoxes,NaiveStruct,64,2000000,263057,2000,1000
13,8,bigBoxes,XBST,64,380638,63994,2000,1000
14,8,bigBoxes,XBST_non_veb,64,380638,62390,2000,1000
15,8,bigBoxes,RangeTree,64,118801,36440,2000,1000
16,8,bigBoxes,RangeTree_non_veb,64,118801,39644,2000,1000
17,8,bigBoxes,Coors,64,128582,32262,2000,1000
18,8,smallBoxes,NaiveStruct,64,2000000,250005,2000,1000
19,8,smallBoxes,XBST,64,14570,4246,2000,1000
20,8,smallBoxes,XBST_non_veb,64,14570,6890,2000,1000
21,8,smallBoxes,RangeTree,64,28701,7818,2000,1000
22,8,smallBoxes,RangeTree_non_veb,64,28701,9205,2000,1000
23,8,smallBoxes,Coors,64,14759,5673,2000,1000
24,8,bigBoxes,NaiveStruct,128,2000000,260828,2000,1000
25,8,bigBoxes,XBST,128,380638,60800,2000,1000
26,8,bigBoxes,XBST_non_veb,128,380638,60493,2000,1000
27,8,bigBoxes,RangeTree,128,118801,34388,2000,1000
28,8,bigBoxes,RangeTree_non_veb,128,118801,37877,2000,1000
29,8,bigBoxes,Coors,128,128582,31056,2000,1000
30,8,smallBoxes,NaiveStruct,128,2000000,250005,2000,1000
31,8,smallBoxes,XBST,128,14570,3674,2000,1000
32,8,smallBoxes,XBST_non_veb,128,14570,6126,2000,1000
33,8,smallBoxes,RangeTree,128,28701,7308,2000,1000
34,8,smallBoxes,RangeTree_non_veb,128,28701,8648,2000,1000
35,8,smallBoxes,Coors,128,14759,5168,2000,1000
36,16,bigBoxes,NaiveStruct,256,2000000,130571,2000,1000
37,16,bigBoxes,XBST,256,380638,31081,2000,1000
38,16,bigBoxes,XBST_non_veb,256,380638,31587,2000,1000
39,16,bigBoxes,RangeTree,256,118801,22153,2000,1000
40,16,bigBoxes,RangeTree_non_veb,256,118801,26323,2000,1000
41,16,bigBoxes,Coors,256,128582,18118,2000,1000
42,16,smallBoxes,NaiveStruct,256,2000000,125005,2000,1000
43,16,smallBoxes,XBST,256,14570,2410,2000,1000
44,16,smallBoxes,XBST_non_veb,256,14570,4659,2000,1000
45,16,smallBoxes,RangeTree,256,28701,5859,2000,1000
46,16,smallBoxes,RangeTree_non_veb,256,28701,7492,2000,1000
47,16,smallBoxes,Coors,256,14759,3782,2000,1000
48,32,bigBoxes,NaiveStruct,1024,2000000,65416,2000,1000
49,32,bigBoxes,XBST,1024,380638,11899,2000,1000
50,32,bigBoxes,XBST_non_veb,1024,380638,12314,2000,1000
51,32,bigBoxes,RangeTree,1024,118801,14660,2000,1000
52,32,bigBoxes,RangeTree_non_veb,1024,118801,18124,2000,1000
53,32,bigBoxes,Coors,1024,128582,10551,2000,1000
54,32,smallBoxes,NaiveStruct,1024,2000000,63005,2000,1000
55,32,smallBoxes,XBST,1024,14570,943,2000,1000
56,32,smallBoxes,XBST_non_veb,1024,14570,1682,2000,1000
57,32,smallBoxes,RangeTree,1024,28701,4547,2000,1000
58,32,smallBoxes,RangeTree_non_veb,1024,28701,5832,2000,1000
59,32,smallBoxes,Coors,1024,14759,2632,2000,1000
60,8,bigBoxes,NaiveStruct,32,1000000,133167,1000,1000
61,8,bigBoxes,XBST,32,194022,38827,1000,1000
62,8,bigBoxes,XBST_non_veb,32,194022,35297,1000,1000
63,8,bigBoxes,RangeTree,32,79437,27321,1000,1000
64,8,bigBoxes,RangeTree_non_veb,32,79437,29912,1000,1000
65,8,bigBoxes,Coors,32,72419,20812,1000,1000
66,8,smallBoxes,NaiveStruct,32,1000000,125005,1000,1000
67,8,smallBoxes,XBST,32,11745,4005,1000,1000
68,8,smallBoxes,XBST_non_veb,32,11745,7046,1000,1000
69,8,smallBoxes,RangeTree,32,25020,7109,1000,1000
70,8,smallBoxes,RangeTree_non_veb,32,25020,8525,1000,1000
71,8,smallBoxes,Coors,32,13209,5415,1000,1000
72,8,bigBoxes,NaiveStruct,32,2000000,266515,2000,1000
73,8,bigBoxes,XBST,32,378971,79107,2000,1000
74,8,bigBoxes,XBST_non_veb,32,378971,65372,2000,1000
75,8,bigBoxes,RangeTree,32,119129,40895,2000,1000
76,8,bigBoxes,RangeTree_non_veb,32,119129,42879,2000,1000
77,8,bigBoxes,Coors,32,123459,33182,2000,1000
78,8,smallBoxes,NaiveStruct,32,2000000,250005,2000,1000
79,8,smallBoxes,XBST,32,14528,4837,2000,1000
80,8,smallBoxes,XBST_non_veb,32,14528,8132,2000,1000
81,8,smallBoxes,RangeTree,32,28705,8414,2000,1000
82,8,smallBoxes,RangeTree_non_veb,32,28705,9899,2000,1000
83,8,smallBoxes,Coors,32,14908,6153,2000,1000
84,8,bigBoxes,NaiveStruct,32,5000000,666186,5000,1000
85,8,bigBoxes,XBST,32,941341,187564,5000,1000
86,8,bigBoxes,XBST_non_veb,32,941341,155093,5000,1000
87,8,bigBoxes,RangeTree,32,225693,77291,5000,1000
88,8,bigBoxes,RangeTree_non_veb,32,225693,76181,5000,1000
89,8,bigBoxes,Coors,32,282108,69342,5000,1000
90,8,smallBoxes,NaiveStruct,32,5000000,625018,5000,1000
91,8,smallBoxes,XBST,32,21148,6481,5000,1000
92,8,smallBoxes,XBST_non_veb,32,21148,9933,5000,1000
93,8,smallBoxes,RangeTree,32,34396,10683,5000,1000
94,8,smallBoxes,RangeTree_non_veb,32,34396,12432,5000,1000
95,8,smallBoxes,Coors,32,17183,7530,5000,1000
96,8,bigBoxes,NaiveStruct,32,10000000,1332036,10000,1000
97,8,bigBoxes,XBST,32,1864002,368695,10000,1000
98,8,bigBoxes,XBST_non_veb,32,1864002,301045,10000,1000
99,8,bigBoxes,RangeTree,32,389336,135148,10000,1000
100,8,bigBoxes,RangeTree_non_veb,32,389336,124142,10000,1000
101,8,bigBoxes,Coors,32,551427,128273,10000,1000
102,8,smallBoxes,NaiveStruct,32,10000000,1250022,10000,1000
103,8,smallBoxes,XBST,32,30932,8619,10000,1000
104,8,smallBoxes,XBST_non_veb,32,30932,11944,10000,1000
105,8,smallBoxes,RangeTree,32,39078,12471,10000,1000
