,avg cell probes,avg disk accesses,block size,box type,data structure,memory size,num points,std cell probes,std disk accesses
0,1898.1449999999998,310.79720000000003,8,bigBoxes,XBST_non_veb,32,10000,57.3823805841131,10.20958019215285
1,20000.0,2500.0588000000002,8,smallBoxes,NaiveStruct,32,20000,0.0,0.017093858546409102
2,14.953400000000002,3.8928,16,smallBoxes,Coors,256,2000,0.14392463305494296,0.07407901187245955
3,14.3108,2.8858,16,smallBoxes,XBST,256,2000,0.15015225606030713,0.2671847675298874
4,143.6094,11.2608,32,bigBoxes,Coors,1024,2000,10.731378047576186,0.5533865737438882
5,1898.1449999999998,320.57219999999995,8,bigBoxes,XBST,32,10000,57.3823805841131,28.245381661432717
6,777.7726,239.80419999999998,8,bigBoxes,RangeTree_non_veb,32,20000,39.43221767539838,12.216185071453358
7,424.99920000000003,133.45099999999996,8,bigBoxes,RangeTree,32,10000,28.165199914078364,5.788414938478401
8,387.78,31.723200000000002,16,bigBoxes,XBST,256,2000,10.902075559268525,0.8725377928777639
9,387.78,16.1512,32,bigBoxes,XBST_non_veb,1024,2000,10.902075559268525,2.192199739987212
10,387.78,34.107600000000005,16,bigBoxes,XBST_non_veb,256,2000,10.902075559268525,1.6086661555462647
11,2000.0,63.0048,32,smallBoxes,NaiveStruct,1024,2000,0.0,0.003033150177619759
12,28.8487,8.5445,8,smallBoxes,RangeTree,32,2000,0.17918150326166804,0.10813700158184097
13,34.6432,12.5728,8,smallBoxes,RangeTree_non_veb,32,5000,0.2658997931552405,0.1707211176158356
14,956.2675999999999,159.95520000000002,8,bigBoxes,XBST_non_veb,32,5000,28.31417533321427,5.432348727760399
15,2000.0,65.6306,32,bigBoxes,NaiveStruct,1024,2000,0.0,0.17740997717152152
16,387.78,65.3874,8,bigBoxes,XBST_non_veb,64,2000,10.902075559268525,2.286256175497403
17,125.3452,16.6682,32,bigBoxes,RangeTree,1024,2000,5.036048272207083,1.1589660046783081
18,387.78,63.2562,8,bigBoxes,XBST,64,2000,10.902075559268525,1.6149251375837854
19,143.6094,35.089800000000004,8,bigBoxes,Coors,64,2000,10.731378047576186,2.1453645844005176
20,14.337699999999998,8.6719,8,smallBoxes,XBST_non_veb,32,2000,0.13134352752314157,0.28025403158959605
21,1000.0,133.6846,8,bigBoxes,NaiveStruct,32,1000,0.0,0.5464968435407505
22,39.45739999999999,14.6932,8,smallBoxes,RangeTree_non_veb,32,10000,0.34647265404357647,0.1917777359340752
23,198.31279999999998,35.2278,8,bigBoxes,XBST,32,1000,7.267153858285918,2.3246926033349005
24,34.6432,10.8006,8,smallBoxes,RangeTree,32,5000,0.2658997931552405,0.1273667931605407
25,20000.0,2671.5498,8,bigBoxes,NaiveStruct,32,20000,0.0,8.401157432163702
26,28.881,7.4438,8,smallBoxes,RangeTree,128,2000,0.18577271059011763,0.10712002613890666
27,14.3108,2.455,32,smallBoxes,XBST_non_veb,1024,2000,0.15015225606030713,0.43609402655849355
28,2000.0,131.00560000000002,16,bigBoxes,NaiveStruct,256,2000,0.0,0.37291124949510834
29,47.4958,15.884800000000002,8,smallBoxes,XBST_non_veb,32,20000,1.2846266772879966,0.15583228163637905
30,83.11699999999999,29.6204,8,bigBoxes,RangeTree,32,1000,3.044745802197615,1.498815465626105
31,13.280199999999999,5.4492,8,smallBoxes,Coors,32,1000,0.09244295538330645,0.065610212619683
32,28.881,8.7922,8,smallBoxes,RangeTree_non_veb,128,2000,0.18577271059011763,0.10819057260223718
33,25.186600000000002,7.1952,8,smallBoxes,RangeTree,32,1000,0.1046389028994472,0.0769395866898179
34,125.3452,42.1302,8,bigBoxes,RangeTree_non_veb,128,2000,5.036048272207083,2.54920864191223
35,80.2454,22.365599999999997,8,bigBoxes,Coors,32,1000,5.591016660679881,1.2019522869065977
36,241.93940000000003,84.0068,8,bigBoxes,RangeTree_non_veb,32,5000,14.500117337456269,5.447534827791375
37,387.6276,68.2283,8,bigBoxes,XBST_non_veb,32,2000,10.26197440608342,2.1263374379434676
38,2000.0,125.005,16,smallBoxes,NaiveStruct,256,2000,0.0,0.003464101615135835
39,45.330799999999996,15.4262,8,smallBoxes,RangeTree,32,20000,0.46739030798680653,0.3143862274337096
40,28.881,9.3668,8,smallBoxes,RangeTree_non_veb,64,2000,0.18577271059011763,0.1254340464148389
41,142.93099999999998,36.709900000000005,8,bigBoxes,Coors,32,2000,11.24980492670379,2.2776774452157267
42,640.0916,144.86180000000002,8,bigBoxes,Coors,32,10000,60.75331823283399,11.89138956135909
43,125.3452,37.6182,8,bigBoxes,RangeTree,128,2000,5.036048272207083,2.0415186014337463
44,14.953400000000002,5.7732,8,smallBoxes,Coors,64,2000,0.14392463305494296,0.07070855676649043
45,14.953400000000002,2.7185999999999995,32,smallBoxes,Coors,1024,2000,0.14392463305494296,0.06399062431325384
46,25.186600000000002,8.627199999999998,8,smallBoxes,RangeTree_non_veb,32,1000,0.1046389028994472,0.07427112494098854
47,19.1166,8.6694,8,smallBoxes,Coors,32,10000,0.14089286710121265,0.07783508206458074
48,956.2675999999999,163.02999999999997,8,bigBoxes,XBST,32,5000,28.31417533321427,14.502681114194022
49,14.3108,4.060599999999999,8,smallBoxes,XBST,128,2000,0.15015225606030713,0.21812794410620567
50,45.330799999999996,17.4656,8,smallBoxes,RangeTree_non_veb,32,20000,0.46739030798680653,0.28496280459035267
51,387.78,61.563,8,bigBoxes,XBST,128,2000,10.902075559268525,1.5725212240221098
52,83.11699999999999,33.1418,8,bigBoxes,RangeTree_non_veb,32,1000,3.044745802197615,1.9504123153835964
